               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040943,            0.059055,            0.041062,             0.94291,             0.12088,              0.2526,             0.14185,            0.038961,            0.045132,            0.048597,            0.009307,            0.009307,            0.009307
                  37,            0.038498,            0.052169,            0.037784,             0.74805,             0.20769,             0.20092,             0.11169,            0.040146,            0.045543,            0.048186,           0.0092872,           0.0092872,           0.0092872
                  38,            0.038777,            0.049033,            0.035647,             0.74224,             0.22253,             0.21429,             0.10715,            0.041075,            0.044873,            0.047411,           0.0092674,           0.0092674,           0.0092674
                  39,            0.042691,            0.056735,            0.038157,             0.73923,             0.17663,             0.21601,             0.13035,            0.042917,            0.045269,            0.047209,           0.0092476,           0.0092476,           0.0092476
                  40,            0.040801,            0.056477,            0.036711,             0.75738,             0.21158,               0.235,             0.13846,            0.039327,             0.04496,            0.046545,           0.0092278,           0.0092278,           0.0092278
                  41,              0.0379,            0.054549,            0.038102,             0.76011,             0.22824,             0.24741,             0.13841,            0.034829,            0.043815,            0.046518,            0.009208,            0.009208,            0.009208
                  42,            0.039697,            0.057279,            0.037666,             0.76474,             0.19095,             0.22791,             0.10852,            0.040191,            0.050063,             0.04587,           0.0091882,           0.0091882,           0.0091882
                  43,            0.041087,            0.055748,            0.038239,             0.77404,             0.20152,             0.24637,             0.13257,            0.036277,            0.048734,            0.045754,           0.0091684,           0.0091684,           0.0091684
                  44,            0.038066,             0.04853,            0.037987,             0.81744,             0.18095,             0.23732,             0.12523,            0.040406,            0.046378,            0.044972,           0.0091486,           0.0091486,           0.0091486
                  45,            0.041438,            0.058202,            0.038007,             0.87487,             0.17903,             0.20947,             0.11404,            0.042578,            0.046005,             0.04437,           0.0091288,           0.0091288,           0.0091288
                  46,            0.039882,            0.053684,            0.036971,             0.84717,             0.19372,             0.25387,             0.15253,            0.035793,            0.045044,            0.043964,            0.009109,            0.009109,            0.009109
                  47,            0.034953,            0.049463,            0.035349,             0.87555,             0.19239,             0.24899,             0.14335,            0.038266,            0.045278,            0.043656,           0.0090892,           0.0090892,           0.0090892
